id,label,synonyms
http://purl.obolibrary.org/obo/GO_0016192,vesicle-mediated transport,"vesicle transport,nonselective vesicle transport,vesicle trafficking,protein sorting along secretory pathway,vesicular transport"
http://purl.obolibrary.org/obo/GO_0005975,carbohydrate metabolic process,"multicellular organismal carbohydrate metabolic process,single-organism carbohydrate metabolic process,carbohydrate metabolism"
http://purl.obolibrary.org/obo/GO_0065003,protein-containing complex assembly,"chaperone activity,protein complex formation,macromolecule complex assembly,protein complex assembly,macromolecular complex assembly"
http://purl.obolibrary.org/obo/GO_0034330,cell junction organization,"cell junction assembly and maintenance,cell junction organisation,cell junction biogenesis"
http://purl.obolibrary.org/obo/GO_0021700,developmental maturation,
http://purl.obolibrary.org/obo/GO_0008219,cell death,"accidental cell death,necrosis"
http://purl.obolibrary.org/obo/GO_0007009,plasma membrane organization,"plasma membrane organisation,plasma membrane organization and biogenesis"
http://purl.obolibrary.org/obo/GO_0006399,tRNA metabolic process,tRNA metabolism
http://purl.obolibrary.org/obo/GO_0007005,mitochondrion organization,"mitochondrion organisation,mitochondrion organization and biogenesis,mitochondria organization"
http://purl.obolibrary.org/obo/GO_0042254,ribosome biogenesis,ribosome biogenesis and assembly
http://purl.obolibrary.org/obo/GO_0006950,response to stress,"response to biotic stress,response to abiotic stress"
http://purl.obolibrary.org/obo/GO_0006397,mRNA processing,mRNA maturation
http://purl.obolibrary.org/obo/GO_0009790,embryo development,"embryogenesis and morphogenesis,embryonal development,embryogenesis"
http://purl.obolibrary.org/obo/GO_0048870,cell motility,"cell locomotion,movement of a cell,cell movement"
http://purl.obolibrary.org/obo/GO_0006790,sulfur compound metabolic process,"sulfur metabolism,sulphur metabolic process,sulphur metabolism"
http://purl.obolibrary.org/obo/GO_0019748,secondary metabolic process,"secondary metabolism,secondary metabolite metabolic process,secondary metabolite metabolism"
http://purl.obolibrary.org/obo/GO_0044281,small molecule metabolic process,small molecule metabolism
http://purl.obolibrary.org/obo/GO_0003013,circulatory system process,
http://purl.obolibrary.org/obo/GO_0006520,cellular amino acid metabolic process,"cellular amino acid metabolism,cellular amino acid and derivative metabolic process,amino acid metabolic process,amino acid and derivative metabolism"
http://purl.obolibrary.org/obo/GO_0007059,chromosome segregation,"chromosome transmission,chromosome division"
http://purl.obolibrary.org/obo/GO_0048646,anatomical structure formation involved in morphogenesis,formation of an anatomical structure involved in morphogenesis
http://purl.obolibrary.org/obo/GO_0043473,pigmentation,
http://purl.obolibrary.org/obo/GO_0040007,growth,"growth pattern,non-developmental growth"
http://purl.obolibrary.org/obo/GO_0008150,biological_process,"biological process,single organism process,physiological process,single-organism process"
