id,definition,label,synonyms
http://purl.obolibrary.org/obo/GO_0005615,"That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid.",extracellular space,intercellular space
http://purl.obolibrary.org/obo/GO_0005737,"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",cytoplasm,
http://purl.obolibrary.org/obo/GO_0005856,"Any of the various filamentous elements that form the internal framework of cells, and typically remain after treatment of the cells with mild detergent to remove membrane constituents and soluble components of the cytoplasm. The term embraces intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles.",cytoskeleton,
http://purl.obolibrary.org/obo/GO_0005730,"A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome.",nucleolus,
http://purl.obolibrary.org/obo/GO_0005576,The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.,extracellular region,extracellular
http://purl.obolibrary.org/obo/GO_0005575,"A location, relative to cellular compartments and structures, occupied by a macromolecular machine when it carries out a molecular function. There are two ways in which the gene ontology describes locations of gene products: (1) relative to cellular structures (e.g., cytoplasmic side of plasma membrane) or compartments (e.g., mitochondrion), and (2) the stable macromolecular complexes of which they are parts (e.g., the ribosome).",cellular_component,"cell or subcellular entity,cellular component,subcellular entity"
http://purl.obolibrary.org/obo/GO_0005694,A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information.,chromosome,"prophase chromosome,interphase chromosome,chromatid"
http://purl.obolibrary.org/obo/GO_0009536,"Any member of a family of organelles found in the cytoplasm of plants and some protists, which are membrane-bounded and contain DNA. Plant plastids develop from a common type, the proplastid.",plastid,
http://purl.obolibrary.org/obo/GO_0005618,"The rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal, most prokaryotic cells and some protozoan parasites, maintaining their shape and protecting them from osmotic lysis. In plants it is made of cellulose and, often, lignin; in fungi it is composed largely of polysaccharides; in bacteria it is composed of peptidoglycan; in protozoan parasites such as Giardia species, it's made of carbohydrates and proteins.",cell wall,
http://purl.obolibrary.org/obo/GO_0005739,"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration.",mitochondrion,mitochondria
http://purl.obolibrary.org/obo/GO_0005622,"The living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm.",intracellular,"protoplasm,protoplast,nucleocytoplasm,internal to cell"
http://purl.obolibrary.org/obo/GO_0005623,The basic structural and functional unit of all organisms. Includes the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope.,cell,
http://purl.obolibrary.org/obo/GO_0043226,"Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane.",organelle,
